prompt,completion
What is the role of a Business admin in BluH ?,"Business admin is responsible for the all administrative activities like Infra creation, Inventory item creation, role creation and assignments for the entire Hatchery business from web application."
What is the role of a Hatchery owner in BluH?,"Hatchery owner is responsible for the all activities and overview the system process for the entire Hatchery business, including all locations."
What is the role of a Hatchery manager in BluH?,Hatchery manger is responsible for the all activities and overview the system process for one of the assigned location under the Hatchery business.
What is the role of an Accountant in BluH?,"Accountant is responsible for the all MTL (material transaction) related, Expense related transactions, and create item master and vendor master when ever required."
What is the role of a Maturation Technician in BluH?,"Maturation technician is responsible for the all Maturation activities like broodstock feeding, treatments, and mating process for the selected Maturation section in a PU."
What is the role of a Rearing Technician in BluH?,"Rearing technician is responsible for the all larval activities like Juveniles feeding, treatment, and conversion process for the selected Rearing section in a PU."
What is the role of a Feed boy in BluH?,"Feed boy is responsible for the all activities like feeding, treatment, observations, and water quality for the selected tanks in either Maturation/Rearing sections in a PU."
Can Admin create multiple Hatchery owner logins for a single Hatchery business?,"Yes, Admin can create multiple hatchery owner logins for a single hatchery business. However, single hatchery owner login is preferred based on the business model."
Can multiple Hatchery manager logins created for a single location?,"No, each location can have only one manager login."
Can PU have multiple Maturation technician logins?,"Yes, but no technician can assign to same maturation section in that PU."
Can PU have multiple Rearing technician logins?,"Yes, but no technician can assign to same rearing section in that PU."
Can PU have multiple Feed Boy logins?,"Yes, but no Feed boy can assign to same maturation/rearing section in that PU."
What does BluH do?,"Identifying High-Performing Brood and Broodlines, Optimizing Feeding Regimes for Optimal Growth and Survival, Comprehensive Insights for Informed Decision-making, Empowering Breeding and Disease Resistance."
What are the basic activities involved or offered by BluH?,"Feed, Treatment, Observation, Water quality, Sampling, Shifting, Abort, & Sales are the basic activities involved/offered by BluH in both Maturation & Rearing sections."
What are the exclusive activities involved/offered in the Maturation section?,"Mating, Spawning, Hatching, & Nauplii batch creation are the exclusive activities involved/offered in the Maturation section."
What are the exclusive activities involved/offered in the Rearing section?,"Rearing stage, conversion count, & Water exchange % are the exclusive activities involved/offered in the Rearing section."
What are the exclusive KPI's provided in Maturation section?,"Broodstock available animals, Dead animals, Mating %, Fecundity, Fertility %, Spawn cycle, Total Nauplii, Ready to shift/sell, & Production Cost/1M Nauplii, are the exclusive KPI's provided in Maturation section."
What are the exclusive KPI's provided in Rearing section?,"Survival to PL, Ready to shfit/sell, & Production Cost/1M PL, are the exclusive KPI's provided in Rearing section."
How the Mating % is calculated?,Mating % is calculated based on this formula [mated females/females brought for mating * 100].
How the Fecundity is calculated?,Fecundity is calculated based on the egg released by each female animal.
How the Fertility % is calculated?,Fertility % is calculated based on the Nauplii hatched by the total egg released for that batch.
How the spawn cycle is calculated?,The Spawn cycle is calculated based on the female brood animals brought for mating to the total available females in that batch have. Spawn cycle is [Spawned animals/Available animals * 100]
What is the Brood batch in Maturation section?,"Brood batch is some of the male and female broodstock animals, which are sourced from specific broodstock company with a specified broodline."
What is the Nauplii batch in Rearing section?,"Nauplii batch is a collection of Nauplii Juveniles, which are sourced/generated from specific broodstock company brood animals with a specified broodline."
Does BluH supports batch wise and as well section wise activities?,"Yes, BluH supports both Batch and Section wise activities."
Which of the activities can enter by both Batch & Section wise?,"Feed, Treatment, Observation, Water quality, & Sampling are the activities can do it by both batch & section wise."
Does Feeding in BluH allow multi meal per day?,"Yes, BluH allow multi meal feeding in a day."
Does Feeding in BluH allow multi day entry?,"Yes, BluH allow multi day feeding in a single entry."
Does Feeding in BluH allow multi tank entry?,"Yes, BluH allow multi tank feeding in a single entry."
Does Feeding in BluH allow the edit/update/delete the entry?,"Yes, BluH allow edit/update/delete entries in feeding."
Does BluH allow multi treatment in a day?,"Yes, BluH allow multi treatments entry in a day."
Does Treatments in BluH allow multi day entry?,"Yes, BluH allow multi day treatments in a single entry."
Does Treatment in BluH allow multi tank entry?,"Yes, BluH allow multi tank treatments in a single entry."
Does Treatment in BluH allow the edit/update/delete the entry?,"Yes, BluH allow edit/update/delete entries in treatment."
Does BluH allow multi Observations in a day?,"Yes, BluH allow multi observations entry in a day."
Does Observations in BluH allow multi day entry?,"Yes, BluH allow multi day observations in a single entry."
Does Observations in BluH allow multi tank entry?,"Yes, BluH allow multi tank observations in a single entry."
Does Observations in BluH allow the edit/update/delete the entry?,"Yes, BluH allow edit/update/delete entries in observations."
Does Water quality in BluH allow multi entry in a day?,"Yes, BluH allow multi entries in water quality in a day."
Does Water quality in BluH allow multi day entry?,"No, BluH not allow multi day water quality entries in a single entry."
Does Water quality in BluH allow multi tank entry?,"No, BluH not allow multi tank water quality entries in a single entry."
Does water quality in BluH allow the edit/update/delete the entry?,"No, BluH not allow edit/update/delete entries in water quality."
Does Sampling entry in BluH allow multi entry in a day?,"Yes, BluH allow multiple sampling entries in a day."
Does Sampling in BluH allow multi day entry?,"No, BluH not allow multiple day sampling entries in a single entry."
Does Sampling entries in BluH allow multi tank entry?,"No, BluH not allow multiple tank sampling entries in a single entry. Moreover it's a batch level entry for Maturation only."
Does Sampling in BluH allow the edit/update/delete the entry?,"Yes, BluH allow edit/update the entries in sampling. But, not allow the delete function."
Does BluH allow post dated Feed meal entries?,"Yes, BluH allow post dated feed meal entries."
Does BluH allow post dated Treatment entries?,"Yes, BluH allow post dated treatment entries."
Does BluH allow post dated Observation entries?,"Yes, BluH allow post dated observation entries."
Does BluH allow post dated Water quality entries?,"Yes, BluH allow post dated water quality entries."
Does BluH allow post dated Sampling entries?,"Yes, BluH allow post dated sampling entries."
Does BluH allow multiple Broodbatch sourcing in a PU?,"Yes, BluH allow multiple broodbatch sourcing in a single PU at a time."
Does BluH allow multiple Naupliibatch sourcing in a PU?,"Yes, BluH allow multiple naupliibatch sourcing in a single PU at a time."
Does BluH allow post dated Brood batch sourcing in Maturation section?,"Yes, BluH allow post dated brood batch sourcing in Maturation section."
Does BluH allow post dated Nauplii batch sourcing in Rearing section?,"Yes, BluH allow post dated nauplii batch sourcing in Rearing section."
Does BluH allow multiple Mating batches running simultaneously in a broodbatch?,"Yes, BluH allow multiple mating batches running simultaneously in a broodbatch."
Does BluH allow post dated Mating batch entries in a broodbatch?,"Yes, BluH allow post dated mating batch entries in a broodbatch."
What types of shrimp species does BluH support?,"BluH supports a wide range of shrimp species commonly used in hatcheries, including whiteleg shrimp, black tiger shrimp, and Scampi."
What is a PU in hatchery business?,"In Hatchery, PU refers production unit. Typical hatchery business consists multiple PUs in a location."
"In BluH, each Hatchery business consists of?",In BluH each Hatchery business consists of multiple locations.
"In BluH, each Location consists of?",In BluH each Location consists of multiple PUs.
"In BluH, each PU consists of?",In BluH each PU consists of multiple sheds.
"In BluH, each Shed consists of?","In BluH each Shed consists of multiple sections like maturation, rearing."
"In BluH, each Section consists of?",In BluH each Section consists of multiple tanks.
Does BluH have the mechanism to capture inventory items?,"Yes, BluH have the mechanism to capture inventory item master."
Does BluH have the mechanism to capture expense items?,"Yes, BluH have the mechanism to capture expense item master."
Does BluH have the mechanism to produce in-app notifications?,"Yes, BluH have the in-app notifications."
Does BluH have the mechanism to capture vendors?,"Yes, BluH have the mechanism to capture vendor master."
Does BluH have the mechanism to capture all inventory transactions?,"Yes, BluH have the mechanism to capture inventory transactions."
What are the inventory transactions involved in the BluH?,"Transfer/Return, Miscellaneous, Issue, Balance migration, & Purchases are the inventory transactions involved in the BluH."
Does BluH have the mechanism to capture all expense transactions?,"Yes, BluH have the mechanism to capture expense transactions."
What are the expense transactions involved in the BluH?,Reversal & Issue are the expense transactions involved in the BluH.
Does BluH allow post dated inventory transactions?,"Yes, BluH allow the post dated inventory transactions."
Does BluH allow post dated expense transactions?,"Yes, BluH allow the post dated expense transactions."
Does BluH allow Batch/Tank specified expense transactions?,"Yes, BluH allow the Batch/Tank specified expense transactions."
Does BluH have the Petty cash functionality?,"Yes, BluH have the Petty cash functionality."
Does BluH allow the attachments when the time of doing inventory transactions?,"Yes, BluH allow the attachments when the time of doing inventory transactions."
Does BluH allow the attachments when the time of doing expense transactions?,"Yes, BluH allow the attachments when the time of doing expense transactions."
Does BluH allow the transactions of capital expense?,"Yes, BluH allow the transactions of capital expense."
Does BluH allow the transactions of operating expense?,"Yes, BluH allow the transactions of operating expense."
Does BluH allow the multiline inventory transactions on same date?,"Yes, BluH allow the multiline inventory transactions on same date."
Does BluH allow the multiline expense transactions on same date?,"No, BluH not allow the multiline expense transactions on same date."
Does BluH allow the payment transactions to Vendors?,"Yes, BluH allow the payment transactions to vendors. But, no payment gateway involved."
Does BluH provides spend of each tank in the hatchery?,"Yes, BluH provides spend of each tank in the hatchery."
Does BluH provide the reports?,"Yes, BluH provides multiple types of reports."
Typically what type of reports does BluH provides?,BluH provides both MTL & Performance related reports.
What are the MTL related reports provided by BluH?,"Material movement report, Transactions report, Payment report, Sales summary, & Payments transaction report are provided by BluH."
What are the Performance related reports provided by BluH?,"Running batch summary, Brood performance, Rearing summary, Discarded batches, & Batch analytics by feed reports are provided by BluH."
Does BluH allow the reports to be exported to Excel or any other format?,"Yes, BluH allow all the reports to be exported to Excel format."
Does BluH implemented the Nauplii sale functionality in maturation section?,"Yes, BluH implemented the nauplii sale functionality in maturation section."
Does BluH implemented the PL sale functionality in rearing section?,"Yes, BluH implemented the PL sale functionality in rearing section."
Does BluH have the Shift functionality in maturation section?,"Yes, BluH have the shift functionality in maturation section."
Does BluH have the PL shift functionality in rearing section?,"Yes, BluH have the PL shift functionality in rearing section."
Does BluH have the Abort functionality in maturation section?,"Yes, BluH have the Abort functionality in maturation section."
Does BluH have the PL abort functionality in rearing section?,"Yes, BluH have the PL abort functionality in rearing section."
Does BluH provide process data for each batch?,"Yes, BluH provides process data for each batch."
Does BluH provide activities data for each batch?,"Yes, BluH provides activities data for each data."
What type of activity data available in BluH web application?,"Feed, Treatment, Observation, Water quality, & Water flow are the activities data available in BluH web application."
Does BluH have mechanism to record the farmer information when the sale is happen?,"Yes, BluH have the mechanism to record the farmer information when the sale is happen."
Does BluH provide the information regarding the discarded batches?,"Yes, BluH provides the information regarding the discarded batches."
What is Market connect?,"Market connect is a platform which enable hatcheries, nurseries and farmers to connect and exchange seed requirement and seed availability."
What is the main use of Market connect in BluH?,"In BluH, using Market connect hatcheries & nurseries post their seed availability to farmers and get the seed requirement leads from them."
Does BluH provide cost of production for each batch?,"Yes, BluH provides cost of production for each batch in maturation & rearing."
